date,sum_day
15/6/2016,4975
16/6/2016,5910
17/6/2016,8359
18/6/2016,8635
19/6/2016,7026
20/6/2016,9073
21/6/2016,6218
22/6/2016,6227
23/6/2016,6125
24/6/2016,7902
25/6/2016,8195
26/6/2016,8505
27/6/2016,6956
28/6/2016,6000
29/6/2016,6369
30/6/2016,7130
1/7/2016,9388
2/7/2016,9969
3/7/2016,10291
4/7/2016,7805
5/7/2016,6917
6/7/2016,7095
7/7/2016,7995
8/7/2016,9201
9/7/2016,9587
10/7/2016,10749
11/7/2016,8589
12/7/2016,7819
13/7/2016,7221
14/7/2016,7777
15/7/2016,10221
16/7/2016,10118
17/7/2016,11298
18/7/2016,8807
19/7/2016,7367
20/7/2016,7661
21/7/2016,8026
22/7/2016,9858
23/7/2016,9728
24/7/2016,11396
25/7/2016,9071
26/7/2016,7627
27/7/2016,8328
28/7/2016,8793
29/7/2016,10530
30/7/2016,11900
31/7/2016,12303
