timestamp,Rain_(mm),Reservoir_(m)
18/7/2019 23:59,0.0,10.35
19/7/2019 23:59,0.0,10.28
20/7/2019 23:59,0.0,10.28
21/7/2019 23:59,0.0,10.28
22/7/2019 23:59,0.0,10.2
23/7/2019 23:59,10.0,14.09
24/7/2019 23:59,0.0,10.35
25/7/2019 23:59,0.0,10.28
26/7/2019 23:59,0.0,10.35
27/7/2019 23:59,0.0,10.28
28/7/2019 23:59,0.0,10.28
29/7/2019 23:59,0.0,10.28
30/7/2019 23:59,13.6,14.09
31/7/2019 23:59,0.0,10.58
1/8/2019 23:59,0.2,10.28
2/8/2019 23:59,0.0,10.28
3/8/2019 23:59,1.4,10.58
4/8/2019 23:59,2.8,10.73
5/8/2019 23:59,0.2,10.35
6/8/2019 23:59,0.0,10.35
7/8/2019 23:59,0.0,10.28
8/8/2019 23:59,0.0,10.28
9/8/2019 23:59,0.0,10.35
10/8/2019 23:59,0.0,10.28
11/8/2019 23:59,0.0,10.28
12/8/2019 23:59,0.0,10.28
13/8/2019 23:59,0.0,10.20
14/8/2019 23:59,0.0,10.20
15/8/2019 23:59,0.2,10.28
16/8/2019 23:59,0.0,10.28
17/8/2019 23:59,0.0,10.28
18/8/2019 23:59,0.0,10.35
19/8/2019 23:59,0.0,10.28
20/8/2019 23:59,0.0,10.28
21/8/2019 23:59,0.0,10.28
22/8/2019 23:59,0.0,10.20
23/8/2019 23:59,0.0,10.12
24/8/2019 23:59,0.0,10.12
25/8/2019 23:59,0.0,10.20
26/8/2019 23:59,0.0,10.12
27/8/2019 23:59,0.0,10.20
28/8/2019 23:59,0.0,10.20
29/8/2019 23:59,0.0,10.20
30/8/2019 23:59,0.0,10.20
31/8/2019 23:59,0.0,10.12
1/9/2019 23:59,0.0,10.12
2/9/2019 23:59,0.0,10.12
3/9/2019 23:59,0.0,10.12
4/9/2019 23:59,0.0,10.12
5/9/2019 23:59,0.0,10.05
6/9/2019 23:59,0.0,10.05
7/9/2019 23:59,0.0,9.90
8/9/2019 23:59,0.0,9.90
9/9/2019 23:59,0.0,9.90
10/9/2019 23:59,0.0,10.12
11/9/2019 23:59,0.0,9.90
12/9/2019 23:59,0.0,9.90
13/9/2019 23:59,0.0,9.90
14/9/2019 23:59,0.0,9.90
15/9/2019 23:59,0.0,10.05
16/9/2019 23:59,0.0,10.05
17/9/2019 23:59,0.0,10.05
18/9/2019 23:59,0.0,9.82
19/9/2019 23:59,0.0,10.12
20/9/2019 23:59,27.4,15.91
21/9/2019 23:59,0.0,10.28
22/9/2019 23:59,0.0,10.20
23/9/2019 23:59,0.0,10.12
24/9/2019 23:59,30.6,16.68
25/9/2019 23:59,0.2,10.20
26/9/2019 23:59,0.2,10.12
27/9/2019 23:59,0.2,10.20
28/9/2019 23:59,0.0,10.28
29/9/2019 23:59,0.0,10.28
30/9/2019 23:59,0.0,10.28
1/10/2019 23:59,0.0,10.12
2/10/2019 23:59,0.0,10.12
3/10/2019 23:59,0.4,10.35
4/10/2019 23:59,5.8,12.18
5/10/2019 23:59,0.0,10.12
6/10/2019 23:59,0.2,10.35
7/10/2019 23:59,2.8,11.50
8/10/2019 23:59,8.6,13.02
9/10/2019 23:59,0.0,10.35
10/10/2019 23:59,0.2,10.35
11/10/2019 23:59,0.0,10.35
12/10/2019 23:59,0.0,10.35
13/10/2019 23:59,0.0,10.28
14/10/2019 23:59,0.2,10.35
15/10/2019 23:59,0.0,10.35
16/10/2019 23:59,0.0,10.28
17/10/2019 23:59,0.2,10.35
18/10/2019 23:59,0.0,10.35
19/10/2019 23:59,0.0,10.35
20/10/2019 23:59,0.0,10.35
21/10/2019 23:59,0.0,10.35
22/10/2019 23:59,0.0,10.28
23/10/2019 23:59,0.0,10.28
24/10/2019 23:59,0.0,10.28
25/10/2019 23:59,0.0,10.28
26/10/2019 23:59,0.0,10.28
27/10/2019 23:59,0.0,10.28
28/10/2019 23:59,0.0,10.28
29/10/2019 23:59,0.2,10.28
30/10/2019 23:59,0.2,10.28
31/10/2019 23:59,7.2,13.70
1/11/2019 23:59,0.4,10.35
2/11/2019 23:59,0.0,10.35
3/11/2019 23:59,0.0,10.35
4/11/2019 23:59,2.4,10.73
5/11/2019 23:59,0.4,10.35
6/11/2019 23:59,0.2,10.35
7/11/2019 23:59,0.2,10.35
8/11/2019 23:59,16.0,13.86
9/11/2019 23:59,0.2,10.35
10/11/2019 23:59,0.2,10.35
11/11/2019 23:59,0.4,10.43
12/11/2019 23:59,16.4,13.78
13/11/2019 23:59,37.2,20.79
14/11/2019 23:59,48.0,21.40
15/11/2019 23:59,0.4,10.35
