HI,PGA,Vmax/amax,ASI,TSIGN,TBRAC,PP,CAV,SED,TUD,EPA,PGV,PGD,Ia,Htot,ecc_tot,Vw1,Vw2,class_3
7.1584,0.02113,0.08653,0.02024,13.01465,0,0.32985,63.17795,3.55967,0,0.01999,1.79373,0.60852,0.00621,low,0,0,0,A
10.00429,0.01497,0.16047,0.01497,35.70462,0,0.30854,144.15579,29.82522,0,0.01484,2.35707,1.48578,0.01087,low,0,0,0,A
27.19243,0.0373,0.1496,0.03649,30.60385,0,0.49315,353.75851,101.95768,0,0.03608,5.47423,1.41795,0.07349,low,0,0,0,A
49.75898,0.11395,0.11047,0.099,38.60859,31.23992,0.53066,766.572,361.30438,1.37782,0.09827,12.34909,3.09762,0.28579,low,0,0,0,A
3.94161,0.00423,0.20616,0.00292,16.83132,0,1.03923,14.67181,1.24233,0,0.00291,0.8559,0.35943,0.00032,low,0,0,0,A
14.55091,0.05674,0.06504,0.0541,22.64424,2.11693,0.17664,312.87738,30.67694,0.05477,0.05388,3.62049,2.24829,0.0767,low,0,0,0,A
9.65195,0.01316,0.17833,0.00966,7.73162,0,1.25984,33.16073,5.83997,0,0.00962,2.30257,0.5875,0.00293,low,0,0,0,A
41.97325,0.15546,0.0904,0.11487,5.3016,2.9338,0.54,224.30449,109.15605,0.71204,0.11485,13.78564,2.00583,0.15101,low,0,0,0,B
15.09498,0.10646,0.05767,0.09357,1.73591,1.1049,0.29933,89.99649,13.4795,0.33166,0.09154,6.02342,0.6386,0.05054,low,0,0,0,A
168.71557,0.28342,0.12606,0.32663,16.2329,21.95313,0.31937,1262.7896,2695.6248,9.86448,0.32027,35.04943,9.47007,1.74911,low,0,0,0,C
167.48022,0.25105,0.20723,0.23119,32.5282,36.01958,0.31749,1502.4343,6541.67091,7.38994,0.22922,51.03711,45.96183,1.47165,low,0,0,0,C
220.78545,0.43411,0.14224,0.41863,11.47106,18.05959,0.40988,1306.86378,4874.22931,7.9673,0.41202,60.57306,31.75371,2.64091,low,0,0,0,C
130.96411,0.28507,0.10202,0.26184,50.98368,61.87074,0.24,2684.09505,5294.92277,16.12037,0.2628,28.52989,14.39175,2.80301,low,0,0,0,C
124.02189,0.30346,0.12407,0.28103,14.46437,15.53881,0.48744,912.67462,1277.99942,5.06996,0.27957,36.93634,8.9577,1.08602,low,0,0,0,B
105.21382,0.21739,0.12552,0.16936,12.01519,11.3262,0.29933,613.70072,759.27361,2.99702,0.16764,26.76849,5.14757,0.50972,low,0,0,0,C
