DATE,EUR
20/7/1984,406.6
27/7/1984,401.8
3/8/1984,421.3
10/8/1984,417.5
17/8/1984,420.0
24/8/1984,419.4
31/8/1984,419.4
7/9/1984,421.5
14/9/1984,429.8
21/9/1984,439.4
28/9/1984,436.4
5/10/1984,435.9
12/10/1984,437.6
19/10/1984,434.7
26/10/1984,427.4
2/11/1984,421.9
9/11/1984,427.0
16/11/1984,426.7
23/11/1984,430.5
30/11/1984,423.7
7/12/1984,418.7
14/12/1984,415.9
21/12/1984,401.8
28/12/1984,402.2
4/1/1985,397.2
11/1/1985,398.6
18/1/1985,406.2
25/1/1985,393.2
1/2/1985,400.1
8/2/1985,404.5
15/2/1985,412.6
22/2/1985,420.9
1/3/1985,401.5
8/3/1985,412.0
15/3/1985,412.6
22/3/1985,425.4
29/3/1985,425.7
5/4/1985,420.5
12/4/1985,423.2
19/4/1985,408.6
26/4/1985,425.4
3/5/1985,421.1
10/5/1985,412.5
17/5/1985,416.5
24/5/1985,408.4
31/5/1985,403.4
7/6/1985,406.5
14/6/1985,408.5
21/6/1985,404.0
28/6/1985,405.0
5/7/1985,393.8
12/7/1985,385.3
19/7/1985,388.9
26/7/1985,387.3
2/8/1985,386.7
9/8/1985,389.3
16/8/1985,395.7
23/8/1985,394.5
30/8/1985,400.0
6/9/1985,396.4
13/9/1985,399.0
20/9/1985,389.4
27/9/1985,379.5
4/10/1985,372.4
11/10/1985,372.9
18/10/1985,370.9
25/10/1985,371.8
1/11/1985,363.8
8/11/1985,364.0
15/11/1985,367.9
22/11/1985,362.9
29/11/1985,353.9
6/12/1985,352.5
13/12/1985,347.7
20/12/1985,355.6
27/12/1985,351.3
3/1/1986,349.7
10/1/1986,362.7
17/1/1986,377.3
24/1/1986,372.8
31/1/1986,364.1
7/2/1986,352.1
14/2/1986,338.3
21/2/1986,339.9
28/2/1986,328.6
7/3/1986,334.7
14/3/1986,342.9
21/3/1986,344.1
28/3/1986,348.0
4/4/1986,352.9
11/4/1986,346.0
18/4/1986,334.8
25/4/1986,330.6
2/5/1986,332.0
9/5/1986,330.9
16/5/1986,333.8
23/5/1986,341.5
30/5/1986,351.0
6/6/1986,335.3
13/6/1986,337.1
20/6/1986,336.0
27/6/1986,334.8
4/7/1986,329.9
11/7/1986,335.6
18/7/1986,328.7
25/7/1986,331.7
1/8/1986,334.2
8/8/1986,339.7
15/8/1986,353.3
22/8/1986,352.2
29/8/1986,349.5
5/9/1986,384.3
12/9/1986,385.9
19/9/1986,383.2
26/9/1986,396.2
3/10/1986,389.9
10/10/1986,383.0
17/10/1986,371.3
24/10/1986,373.3
31/10/1986,369.8
7/11/1986,377.4
14/11/1986,367.2
21/11/1986,351.7
28/11/1986,345.5
5/12/1986,348.9
12/12/1986,354.8
19/12/1986,355.7
26/12/1986,344.8
2/1/1987,349.1
9/1/1987,349.8
16/1/1987,349.4
23/1/1987,333.1
30/1/1987,334.8
6/2/1987,340.4
13/2/1987,331.6
20/2/1987,333.0
27/2/1987,338.0
6/3/1987,340.1
13/3/1987,344.6
20/3/1987,337.6
27/3/1987,345.9
3/4/1987,346.7
10/4/1987,355.1
17/4/1987,361.2
24/4/1987,377.2
1/5/1987,371.6
8/5/1987,370.7
15/5/1987,382.5
22/5/1987,379.8
29/5/1987,375.9
5/6/1987,376.3
12/6/1987,377.1
19/6/1987,375.4
26/6/1987,370.7
3/7/1987,373.2
10/7/1987,374.8
17/7/1987,381.9
24/7/1987,383.4
31/7/1987,391.9
7/8/1987,400.0
14/8/1987,393.9
21/8/1987,377.8
28/8/1987,374.3
4/9/1987,380.7
11/9/1987,377.4
18/9/1987,379.4
25/9/1987,382.4
2/10/1987,380.2
9/10/1987,381.3
16/10/1987,380.6
23/10/1987,381.4
30/10/1987,372.2
6/11/1987,354.7
13/11/1987,360.9
20/11/1987,359.9
27/11/1987,364.2
4/12/1987,373.0
11/12/1987,370.4
18/12/1987,361.1
25/12/1987,361.1
1/1/1988,351.8
8/1/1988,367.0
15/1/1988,369.9
22/1/1988,366.0
29/1/1988,352.9
5/2/1988,343.9
12/2/1988,348.7
19/2/1988,347.1
26/2/1988,333.7
4/3/1988,335.1
11/3/1988,338.0
18/3/1988,345.5
25/3/1988,348.0
1/4/1988,347.7
8/4/1988,345.2
15/4/1988,348.2
22/4/1988,344.6
29/4/1988,345.6
6/5/1988,342.3
13/5/1988,347.5
20/5/1988,355.3
27/5/1988,355.5
3/6/1988,368.4
10/6/1988,361.1
17/6/1988,361.9
24/6/1988,368.5
1/7/1988,365.0
8/7/1988,369.7
15/7/1988,377.6
22/7/1988,370.3
29/7/1988,374.6
5/8/1988,374.8
12/8/1988,373.8
19/8/1988,375.3
26/8/1988,370.0
2/9/1988,366.9
9/9/1988,366.1
16/9/1988,358.7
23/9/1988,345.9
30/9/1988,341.8
7/10/1988,346.1
14/10/1988,340.3
21/10/1988,336.6
28/10/1988,336.4
4/11/1988,347.1
11/11/1988,335.8
18/11/1988,333.6
25/11/1988,334.6
2/12/1988,336.8
9/12/1988,333.6
16/12/1988,333.0
23/12/1988,339.0
30/12/1988,332.7
6/1/1989,336.1
13/1/1989,338.4
20/1/1989,340.0
27/1/1989,338.0
3/2/1989,333.1
10/2/1989,329.3
17/2/1989,317.8
24/2/1989,323.3
3/3/1989,324.3
10/3/1989,333.4
17/3/1989,336.2
24/3/1989,335.6
31/3/1989,329.4
7/4/1989,325.1
14/4/1989,327.9
21/4/1989,322.8
28/4/1989,321.8
5/5/1989,323.1
12/5/1989,328.1
19/5/1989,326.4
26/5/1989,329.2
2/6/1989,321.3
9/6/1989,335.3
16/6/1989,331.2
23/6/1989,325.9
30/6/1989,330.9
7/7/1989,328.0
14/7/1989,320.0
21/7/1989,321.6
28/7/1989,315.6
4/8/1989,318.2
11/8/1989,317.2
18/8/1989,323.6
25/8/1989,318.1
1/9/1989,320.8
8/9/1989,321.2
15/9/1989,321.2
22/9/1989,321.8
29/9/1989,312.4
6/10/1989,312.7
13/10/1989,313.3
20/10/1989,309.6
27/10/1989,311.5
3/11/1989,320.3
10/11/1989,326.5
17/11/1989,330.1
24/11/1989,343.6
1/12/1989,337.9
8/12/1989,332.5
15/12/1989,327.3
22/12/1989,324.7
29/12/1989,310.7
5/1/1990,313.8
12/1/1990,321.3
19/1/1990,319.9
26/1/1990,324.8
2/2/1990,323.3
9/2/1990,319.5
16/2/1990,320.6
23/2/1990,319.2
2/3/1990,318.1
9/3/1990,311.0
16/3/1990,310.4
23/3/1990,307.1
30/3/1990,283.9
6/4/1990,291.6
13/4/1990,286.2
20/4/1990,289.0
27/4/1990,283.2
4/5/1990,281.9
11/5/1990,274.2
18/5/1990,277.2
25/5/1990,280.1
1/6/1990,279.7
8/6/1990,272.5
15/6/1990,266.6
22/6/1990,264.4
29/6/1990,265.9
6/7/1990,270.7
13/7/1990,270.5
20/7/1990,268.3
