AE,Spruce,C,26.00,M,S_W,Y
AE,Spruce,C,20.50,M,S_W,Y
AE,Spruce,C,35.00,M,S_W,Y
AE,Spruce,C,31.30,M,S_W,Y
AE,Spruce,C,25.20,M,S_W,Y
AE,Spruce,C,14.80,M,S_W,Y
AE,Spruce,C,22.00,M,S_W,Y
AE,Spruce,C,31.70,M,S_W,Y
AE,Spruce,C,24.50,M,S_W,Y
AE,Spruce,C,18.50,M,S_W,Y
AE,Spruce,C,13.00,M,S_W,Y
AE,Spruce,C,9.00,M,S_W,Y
AE,Spruce,C,36.00,M,S_W,Y
AE,Spruce,C,26.60,M,S_W,Y
AE,Spruce,C,14.60,M,S_W,Y
AE,Spruce,C,20.80,M,S_W,Y
AE,Spruce,C,21.70,M,S_W,Y
AE,Spruce,C,11.00,M,S_W,Y
AE,Spruce,C,22.50,M,S_W,Y
AE,Spruce,C,14.50,M,S_W,Y
AE,Spruce,C,31.20,M,S_W,Y
AE,Spruce,C,35.30,M,S_W,Y
AE,Spruce,C,24.70,M,S_W,Y
AE,Spruce,C,23.00,M,S_W,Y
AE,Spruce,C,22.20,M,S_W,Y
AE,Spruce,C,32.20,M,S_W,Y
AE,Spruce,C,26.20,M,S_W,Y
AE,Spruce,C,48.50,M,S_W,Y
AE,Spruce,C,32.50,M,S_W,Y
AE,Spruce,C,19.80,M,S_W,Y
AE,Spruce,C,17.70,M,S_W,Y
AE,Spruce,C,18.20,M,S_W,Y
AE,Spruce,C,35.80,M,S_W,Y
AE,Spruce,C,43.10,M,S_W,Y
AE,Spruce,C,26.20,M,S_W,Y
AE,Spruce,C,20.80,M,S_W,Y
AE,Spruce,C,18.60,M,S_W,Y
AE,Spruce,C,19.80,M,S_W,Y
AE,Spruce,C,21.70,M,S_W,Y
AE,Spruce,C,25.60,M,S_W,Y
AE,Spruce,C,20.20,M,S_W,Y
AE,Spruce,C,34.50,M,S_W,Y
AE,Spruce,C,27.30,M,S_W,Y
AE,Spruce,C,21.50,M,S_W,Y
AE,Spruce,C,32.50,M,S_W,Y
AE,Spruce,C,25.50,M,S_W,Y
AE,Spruce,C,12.80,M,S_W,Y
AE,Spruce,C,23.20,M,S_W,Y
AE,Spruce,C,33.30,M,S_W,Y
AE,Spruce,C,34.50,M,S_W,Y
