date,sum_day
2016-06-15,4975
2016-06-16,5910
2016-06-17,8359
2016-06-18,8635
2016-06-19,7026
2016-06-20,9073
2016-06-21,6218
2016-06-22,6227
2016-06-23,6125
2016-06-24,7902
2016-06-25,8195
2016-06-26,8505
2016-06-27,6956
2016-06-28,6000
2016-06-29,6369
2016-06-30,7130
2016-07-01,9388
2016-07-02,9969
2016-07-03,10291
2016-07-04,7805
2016-07-05,6917
2016-07-06,7095
2016-07-07,7995
2016-07-08,9201
2016-07-09,9587
2016-07-10,10749
2016-07-11,8589
2016-07-12,7819
2016-07-13,7221
2016-07-14,7777
2016-07-15,10221
2016-07-16,10118
2016-07-17,11298
2016-07-18,8807
2016-07-19,7367
2016-07-20,7661
2016-07-21,8026
2016-07-22,9858
2016-07-23,9728
2016-07-24,11396
2016-07-25,9071
2016-07-26,7627
2016-07-27,8328
2016-07-28,8793
2016-07-29,10530
2016-07-30,11900
2016-07-31,12303
